cname,Species,Max_Length,Age_Classes,Depth_range
Arrowtooth flounder,Atheresthes stomias,22,1,50-470
Darkblotched rockfish,Sebastes crameri,15,0-1,80-240
Dover sole,Microstomus pacificus,17,1-2,50-465
English solea,Parophrys vetulus,16,1,50-140
Lingcod,Ophiodon elongatus,25,0,50-240
Longspine thornyhead,Sebastolobus altivelis,7,<5,385-1245
Pacific grenadier,Coryphaenoides acrolepis,3,~1,490-1275
Pacific hake,Merluccius productus,15,0-1,50-700
Pacific sanddab,Citharichthys sordidus,13,0-1,50-245
Petrale sole,Eopsetta jordani,21,1-2,50-200
Sablefish,Anoplopoma fimbria,29,0,50-475
Shortspine thornyhead,Sebastolobus alascanus,8,<5,160-625
Splitnose rockfish,Sebastes diploproa,10,0-1,65-460
