"","Species","Model"
"1","Arrow","tweedie_sm-scaleD"
"2","Dark","tweedie_sm-scaleD"
"3","Dover","delta-gamma-poisson-link-quadr_scaleD"
"4","English","delta-gamma_quardr-scaleD"
"5","Grenadier","delta-gamma_sm-scaleD"
"6","Hake","tweedie_sm-scaleD"
"7","Lingcod","tweedie-quadr-scaleD"
"8","Long","delta-lognormal-sm-scaleD"
"9","Petrale","delta-lognormal-quadr-scaleD"
"10","Sablefish","delta-lognormal-quadr-scaleD"
"11","Sand","tweedie-quadr-scaleD"
"12","Short","tweedie-quadr-scaleD"
"13","Split","tweedie-sm-scaleD"
